id,user_created_time,user,user_description,user_followers_count,user_profile_location,tweet_geo_loc,tweets,likes,time
1014323315777736704,Wed Jul 04 01:41:38 +0000 2018,XrMoaha,'It always seems impossible until it's done.' ~ Nelson Mandela,43,,,"RT @_CYchology: There are chances that Malaysia could bring back the party of ousted PM Najib Razak (good luck to Pakatan Harapan, I hope l…",0,2022-05-27 11:21:37+00:00
1133514959755784192,Tue May 28 23:26:40 +0000 2019,BahangD,aaaaah penipuan berlandasan fikiran,220,"Malacca, Malaysia",,RT @hmetromy: #Putrajaya JR Deepak Jaikishan dan dua lagi gagal dalam usaha mereka untuk mengembalikan semula saman difailkan terhadap Datu…,0,2022-05-27 11:13:55+00:00
63070015,Wed Aug 05 08:03:43 +0000 2009,hmetromy,Malaysia's No 1 newspaper with 3.7 million readers,1445007,Malaysia,,#Putrajaya JR Deepak Jaikishan dan dua lagi gagal dalam usaha mereka untuk mengembalikan semula saman difailkan ter… https://t.co/WbZa0k0lOP,4,2022-05-27 11:13:19+00:00
824412797240881152,Thu Jan 26 00:25:02 +0000 2017,RenoFirdaus7,"I'm just a friendly guy next door that support BN Govt 100%. 
#MaluApaBossKu",1001,"Kota Kinabalu, Sabah",,Rakyat telah menyaksikan bahawa kes seumpama Zeti &amp; Nazlan yg terkena kpd DS Najib Razak telah melihatkan drama ram… https://t.co/Oixk4mZgE0,3,2022-05-27 11:04:04+00:00
1352057175615574020,Thu Jan 21 00:55:49 +0000 2021,mulyati_yayan,Travel,144,,,"CERDAS

PM  MAHATHIR  MUHAMMAD
MEMBATALKAN
KERETA API  CEPAT  KUALA LUMPUR MALAYSIA

KARENA
MANTAN  PM  NAJIB RAZAK… https://t.co/5KqVs7ZWmh",0,2022-05-27 10:45:07+00:00
89954499,Sat Nov 14 15:15:46 +0000 2009,mdsani,,336,Malaysia,,RT @davetoh_2020: @MacDrenco @TAzuanDA @bossku_team @Pesallobbo @stonedislifeddh @Bossbm17 @feraaldha @Zackrie1311 @robertporscheN @JassieL…,0,2022-05-27 10:16:26+00:00
373315316,Wed Sep 14 11:08:01 +0000 2011,Haziq_Escobar,@Eminem | All Cops Are Bastard | Pablo Escobar | Vladimir Putin 🇷🇺 | #AnwarForPM | A Patriot,2654,Tel Aviv,,"SEMENTARA itu gaya Mohd Najib Abdul Razak, Asyraf Wajdi Dusuki dan Ketua Pemuda PAS, Fadhli Shaari selepas masing-m… https://t.co/HUGB2Ff2sv",0,2022-05-27 09:38:44+00:00
1360244360277729282,Fri Feb 12 15:08:51 +0000 2021,shamail11115810,,62,,,RT @davetoh_2020: @MacDrenco @TAzuanDA @bossku_team @Pesallobbo @stonedislifeddh @Bossbm17 @feraaldha @Zackrie1311 @robertporscheN @JassieL…,0,2022-05-27 09:19:54+00:00
1103749630096015360,Thu Mar 07 20:09:53 +0000 2019,CIPEAsiaPacific,"Empowering business associations, entrepreneurs, and think tanks to promote good governance, accountability, and inclusive growth in Asia-Pacific | @CIPEglobal",312,"Washington, DC",,The Malaysia Anti-Corruption Commission investigation of the judge who presided over the conviction of former PM Na… https://t.co/4iUjzCV6ZJ,0,2022-05-27 07:33:00+00:00
1147074752495751168,Fri Jul 05 09:28:27 +0000 2019,kuraphlau03,"#StayHome #KitaJagaKita.Selamat Datang,Welcome,欢迎,வனகம்.Supporter of @pakatanharapan_ and @partimuda.(They/Them). #RakyatJagaRakyat #RakyatBantuRakyat",142,"Kuala Lumpur,Malaysia",,RT @nurislah: Najib hentam PH masa tu kononnya harga telur naik walaupun RM3.99 sepapan. Harga telur sekarang RM18.99 sepapan naik berkali…,0,2022-05-27 06:55:28+00:00
485142950,Mon Feb 06 21:47:02 +0000 2012,amirulhafisz,🇲🇾 Malaysian • Pereka Grafik,1139,Malaysia,,RT @nurislah: Najib hentam PH masa tu kononnya harga telur naik walaupun RM3.99 sepapan. Harga telur sekarang RM18.99 sepapan naik berkali…,0,2022-05-27 06:53:56+00:00
1346353472183013376,Tue Jan 05 07:11:26 +0000 2021,MNowNews,MalaysiaNow brings you news and views on Malaysian current affairs.,1136,"Kuala Lumpur, Malaysia ",,"Panel hakim sebulat suara menafikan permohonan isteri bekas perdana menteri Najib Razak itu hari ini.

#MalaysiaNow… https://t.co/SrisnwvoSc",0,2022-05-27 06:37:29+00:00
1383812798166097927,Sun Apr 18 16:01:04 +0000 2021,AtamYeager,Hidup sekadar hidup babi di hutan juga hidup,37,"England, United Kingdom",,RT @nurislah: Najib hentam PH masa tu kononnya harga telur naik walaupun RM3.99 sepapan. Harga telur sekarang RM18.99 sepapan naik berkali…,0,2022-05-27 05:25:47+00:00
797738845,Sun Sep 02 07:27:47 +0000 2012,mohamadmuzaffar,time is running out,527,,,RT @nurislah: Najib hentam PH masa tu kononnya harga telur naik walaupun RM3.99 sepapan. Harga telur sekarang RM18.99 sepapan naik berkali…,0,2022-05-27 05:17:40+00:00
